Distance since Last Update,Number of blue Nodes,Average Distance,Average Hierarchical distance,Is Affected,Score
18.365997027018654,12.0,1793.3072975723392,2.75,0.0,8.03365
16.15164715217467,12.0,2030.6202673588753,2.75,0.0,5.64827
0.0,12.0,1794.333771541306,2.75,0.0,0.0
0.0,12.0,2033.38095156286,2.75,0.0,0.0
0.0,12.0,2632.3979066555025,1.8333334,0.0,0.0
0.0,12.0,2631.905217637168,1.8333334,0.0,0.0
15.14917143881221,12.0,3197.999204953265,2.75,0.0,1.76175
0.0,12.0,3198.9917156349134,2.75,0.0,0.0
16.151648564108402,12.0,2058.7897443362135,2.75,0.0,5.50019
0.0,12.0,2058.7897443362135,2.75,0.0,0.0
0.0,12.0,1863.504755054857,1.8333334,0.0,0.0
0.0,12.0,1867.1319739475248,1.8333334,0.0,0.0
18.00366678169276,12.0,2308.4477759044235,2.75,0.0,4.84468
16.09401003956938,12.0,3961.6030286013515,2.75,0.0,0.91088
0.0,12.0,2308.3922464245875,2.75,0.0,0.0
0.0,12.0,3962.91991929628,2.75,0.0,0.0
0.0,12.0,2266.338859607708,1.75,0.0,0.0
0.0,12.0,2265.1570734658867,1.75,0.0,0.0
19.44688038801575,12.0,1957.9653373078374,2.75,0.0,7.28294
0.0,12.0,1958.7416884878694,2.75,0.0,0.0
0.0,12.0,3297.247530407214,2.75,0.0,0.0
0.0,12.0,3298.350139716118,2.75,0.0,0.0
0.0,12.0,2575.0634008516076,2.75,0.0,0.0
0.0,12.0,2573.1885513533266,2.75,0.0,0.0
19.446880613649483,12.0,1966.6277287386245,2.75,0.0,7.22369
0.0,12.0,1967.3933808723884,2.75,0.0,0.0
0.0,12.0,1771.9971039095944,2.75,0.0,0.0
0.0,12.0,1774.719441064088,2.75,0.0,0.0
19.446880839145372,12.0,1979.2290085094428,2.75,0.0,7.13835
0.0,12.0,1979.97137935973,2.75,0.0,0.0
19.44688088340127,12.0,1982.9339087869328,2.75,0.0,7.11345
0.0,12.0,1984.6339071940363,2.75,0.0,0.0
0.0,12.0,2558.9142644661392,2.75,0.0,0.0
0.0,12.0,2559.8321272185526,2.75,0.0,0.0
0.0,12.0,1800.2306943619724,2.75,0.0,0.0
0.0,12.0,1803.2156705727386,2.75,0.0,0.0
0.0,12.0,1900.4897803348028,2.75,0.0,0.0
0.0,12.0,1901.513754073362,2.75,0.0,0.0
0.0,12.0,2622.15202279702,1.8333334,0.0,0.0
0.0,12.0,2620.947011186276,1.8333334,0.0,0.0
0.0,12.0,2620.4320716308384,1.8333334,0.0,0.0
0.0,12.0,2619.262782725616,1.8333334,0.0,0.0
10.132924444057114,12.0,2405.4666228677156,2.75,0.0,2.48829
0.0,12.0,2407.7212800696657,2.75,0.0,0.0
6.268631971016214,12.0,2331.6410723428385,1.8333334,0.0,0.92768
0.0,12.0,2331.6410723428385,1.8333334,0.0,0.0
0.0,12.0,2613.1579095836714,1.8333334,0.0,0.0
0.0,12.0,2334.398113277477,1.8333334,0.0,0.0
0.0,12.0,2612.5962540096284,1.8333334,0.0,0.0
0.0,12.0,3885.4910758921906,2.75,0.0,0.0
0.0,12.0,3885.8869220795,2.75,0.0,0.0
0.0,12.0,1930.5615530534042,2.75,0.0,0.0
0.0,12.0,1932.0437746883856,2.75,0.0,0.0
0.0,12.0,2175.3969206783318,1.75,0.0,0.0
0.0,12.0,2552.4049976095525,2.75,0.0,0.0
0.0,12.0,2550.9674342312514,2.75,0.0,0.0
0.0,12.0,1937.977317341405,2.75,0.0,0.0
0.0,12.0,2231.2516829631118,2.75,0.0,0.0
0.0,12.0,1938.4709283348054,2.75,0.0,0.0
0.0,12.0,2231.2192878711608,2.75,0.0,0.0
0.0,12.0,2171.6661556332047,1.75,0.0,0.0
0.0,12.0,2579.446176522381,1.8333334,0.0,0.0
0.0,12.0,2574.864510979849,1.8333334,0.0,0.0
0.0,12.0,2226.87960951587,2.75,0.0,0.0
0.0,12.0,2225.4067590641675,2.75,0.0,0.0
18.94660663170343,12.0,2382.2154576568014,2.75,0.0,4.75578
0.0,12.0,2384.1060271595,2.75,0.0,0.0
0.0,12.0,2556.9754509468307,1.8333334,0.0,0.0
14.194429837512628,12.0,1902.8175480906527,2.75,0.0,5.59967
0.0,12.0,2552.630006945274,1.8333334,0.0,0.0
0.0,12.0,1902.536460020922,2.75,0.0,0.0
0.0,12.0,3938.4112531792002,2.75,0.0,0.0
0.0,12.0,3940.983261427973,2.75,0.0,0.0
0.0,12.0,2213.5544399990995,2.75,0.0,0.0
0.0,12.0,2211.206787220495,2.75,0.0,0.0
0.0,12.0,2212.109007742142,2.75,0.0,0.0
0.0,12.0,2209.7880200615523,2.75,0.0,0.0
18.94660696563531,12.0,2298.413607476106,2.75,0.0,5.1469
0.0,12.0,2299.3859076467593,2.75,0.0,0.0
0.0,12.0,2137.1501971961525,1.75,0.0,0.0
12.975177369840795,12.0,2091.36543357199,1.8333334,0.0,2.65868
0.0,12.0,2091.36543357199,1.8333334,0.0,0.0
14.99630377250134,12.0,3027.600410120365,2.75,0.0,2.04802
0.0,12.0,3027.600410120365,2.75,0.0,0.0
0.0,12.0,1929.2799379587739,2.75,0.0,0.0
0.0,12.0,1929.7367599904335,2.75,0.0,0.0
0.0,12.0,2289.7329983946015,2.75,0.0,0.0
0.0,12.0,2287.846750617745,2.75,0.0,0.0
12.97517727833523,12.0,2107.993424639125,1.8333334,0.0,2.59948
0.0,12.0,2107.993424639125,1.8333334,0.0,0.0
14.996303102075977,12.0,3107.6718723401877,2.75,0.0,1.89905
19.264864906989597,12.0,2364.8825836369037,2.75,0.0,4.91536
0.0,12.0,3107.6718723401877,2.75,0.0,0.0
0.0,12.0,2364.290705321171,2.75,0.0,0.0
0.0,12.0,2448.3649856648026,1.8333334,0.0,0.0
0.0,12.0,2450.8017865461075,1.8333334,0.0,0.0
0.0,12.0,2276.827809852572,2.75,0.0,0.0
0.0,12.0,2276.2265217149256,2.75,0.0,0.0
0.0,12.0,2207.7629966844383,2.75,0.0,0.0
0.0,12.0,2207.255182437034,2.75,0.0,0.0
0.0,12.0,2131.2732450394237,1.75,0.0,0.0
0.0,12.0,2132.077813223445,1.75,0.0,0.0
0.0,12.0,4045.4495771592137,2.75,0.0,0.0
0.0,12.0,2208.7815100171733,2.75,0.0,0.0
0.0,12.0,4049.484864938507,2.75,0.0,0.0
0.0,12.0,2207.9141577430337,2.75,0.0,0.0
18.94660779942614,12.0,2103.6190642164106,2.75,0.0,6.18487
0.0,12.0,2104.7690666573744,2.75,0.0,0.0
0.0,12.0,1943.9762314864727,2.75,0.0,0.0
0.0,12.0,1944.5349322598374,2.75,0.0,0.0
0.0,12.0,2135.2305779035314,1.75,0.0,0.0
0.0,12.0,2136.057783645943,1.75,0.0,0.0
0.0,12.0,2479.812678880982,1.8333334,0.0,0.0
0.0,12.0,2481.9841092406596,1.8333334,0.0,0.0
0.0,12.0,2093.164976291943,2.75,0.0,0.0
18.258646824878358,12.0,2265.678280630246,2.75,0.0,5.11553
0.0,12.0,2094.3718582472607,2.75,0.0,0.0
0.0,12.0,2267.454637356273,2.75,0.0,0.0
0.0,12.0,2295.627390878368,2.75,0.0,0.0
0.0,12.0,2297.6058530619243,2.75,0.0,0.0
0.0,12.0,1979.846584664457,2.75,0.0,0.0
0.0,12.0,1980.4189934713997,2.75,0.0,0.0
9.18698495100492,12.0,2225.618508248402,1.8333334,0.0,1.56949
0.0,12.0,2225.618508248402,1.8333334,0.0,0.0
0.0,12.0,2224.995747958307,1.8333334,0.0,0.0
0.0,12.0,2307.669089103299,2.75,0.0,0.0
0.0,12.0,2307.1625360517505,2.75,0.0,0.0
18.813628340102934,12.0,3076.8329058826007,2.75,0.0,2.45277
0.0,12.0,3077.3119297424764,2.75,0.0,0.0
12.461193931609618,12.0,2312.7742192779533,2.75,0.0,3.33958
0.0,12.0,2312.16930301985,2.75,0.0,0.0
0.0,12.0,2153.151554869624,1.75,0.0,0.0
0.0,12.0,2152.50047974002,1.75,0.0,0.0
12.461193805276881,12.0,2276.9357639738105,2.75,0.0,3.45439
0.0,12.0,2276.6615809233817,2.75,0.0,0.0
0.0,12.0,2007.850479280002,2.75,0.0,0.0
0.0,12.0,2007.0132945874032,2.75,0.0,0.0
0.0,12.0,2100.7217803604403,2.75,0.0,0.0
0.0,12.0,2099.033072736414,2.75,0.0,0.0
18.813629785240913,12.0,2904.3276151845657,2.75,0.0,2.88611
0.0,12.0,2903.09803218356,2.75,0.0,0.0
0.0,12.0,2145.721340884153,1.75,0.0,0.0
0.0,12.0,2145.1008479994325,1.75,0.0,0.0
0.0,12.0,2086.7802767896483,2.75,0.0,0.0
0.0,12.0,2085.167933751465,2.75,0.0,0.0
12.601109579574196,12.0,2564.5944417550486,2.75,0.0,2.66317
0.0,12.0,2564.2737518038443,2.75,0.0,0.0
0.0,12.0,1978.5997278766488,2.75,0.0,0.0
13.193168973288936,12.0,2281.1758616691263,2.75,0.0,3.6427
0.0,12.0,1977.3427922448375,2.75,0.0,0.0
0.0,12.0,2280.587284625521,2.75,0.0,0.0
0.0,12.0,2145.8399003401073,1.75,0.0,0.0
0.0,12.0,2145.2407074782327,1.75,0.0,0.0
12.46119321086184,12.0,2125.2417825880907,2.75,0.0,3.98568
0.0,12.0,2124.381759539218,2.75,0.0,0.0
0.0,12.0,2069.7913319236854,2.75,0.0,0.0
0.0,12.0,2069.6091494284146,2.75,0.0,0.0
15.69579578680031,12.0,1946.160547390047,2.75,0.0,5.94395
0.0,12.0,1947.359967751963,2.75,0.0,0.0
15.695795782777882,12.0,1958.4896725239753,2.75,0.0,5.87524
0.0,12.0,2068.1186134303325,2.75,0.0,0.0
0.0,12.0,1959.7098905739228,2.75,0.0,0.0
0.0,12.0,2067.9937016453937,2.75,0.0,0.0
0.0,12.0,1965.9640835178516,2.75,0.0,0.0
0.0,12.0,1964.539162718942,2.75,0.0,0.0
13.20328123053169,12.0,4451.876958140318,2.75,0.0,0.47062
0.0,12.0,4451.8389199928615,2.75,0.0,0.0
12.601107576726362,12.0,2400.1668010918506,2.75,0.0,3.1099
0.0,12.0,2400.3173525044454,2.75,0.0,0.0
13.203281593181655,12.0,4433.038917679943,2.75,0.0,0.47905
0.0,12.0,4433.033241793353,2.75,0.0,0.0
12.601107155848943,12.0,2371.9294553149507,2.75,0.0,3.19383
0.0,12.0,1966.7169515327842,2.75,0.0,0.0
0.0,12.0,2372.18242642368,2.75,0.0,0.0
0.0,12.0,1965.5257095885547,2.75,0.0,0.0
0.0,12.0,2425.7707660357496,1.8333334,0.0,0.0
0.0,12.0,2425.3459666642757,1.8333334,0.0,0.0
0.0,12.0,2056.3012166417234,2.75,0.0,0.0
0.0,12.0,2055.984635942628,2.75,0.0,0.0
0.0,12.0,2526.653213246202,1.8333334,0.0,0.0
0.0,12.0,2529.521453610977,1.8333334,0.0,0.0
0.0,12.0,2157.6924080360845,1.75,0.0,0.0
0.0,12.0,2538.2806228760246,1.8333334,0.0,0.0
13.193169292992676,12.0,2341.6382234671423,2.75,0.0,3.4408
0.0,12.0,2541.2488214882,1.8333334,0.0,0.0
0.0,12.0,2341.362094280253,2.75,0.0,0.0
15.874435204519827,12.0,2080.1535059862304,2.75,0.0,5.29796
0.0,12.0,2081.4182549651537,2.75,0.0,0.0
0.0,12.0,2399.6748135067674,2.75,0.0,0.0
0.0,12.0,2400.1606722259135,2.75,0.0,0.0
13.193169359756633,12.0,2371.730234110817,2.75,0.0,3.34452
0.0,12.0,2372.3753649062305,2.75,0.0,0.0
13.193169367711624,12.0,2376.288301534828,2.75,0.0,3.33017
0.0,12.0,2376.939381907767,2.75,0.0,0.0
15.874434172440695,12.0,2131.612326079658,2.75,0.0,5.04698
0.0,12.0,3754.367168384892,2.75,0.0,0.0
0.0,12.0,2131.612326079658,2.75,0.0,0.0
0.0,12.0,2413.176394663055,1.8333334,0.0,0.0
0.0,12.0,2412.7673658692083,1.8333334,0.0,0.0
0.0,12.0,2393.7151544587214,2.75,0.0,0.0
0.0,12.0,2393.821142428476,2.75,0.0,0.0
0.0,12.0,2325.0031832529394,2.75,0.0,0.0
0.0,12.0,2326.28082691794,2.75,0.0,0.0
13.203287045000682,12.0,4186.047920453338,2.75,0.0,0.60471
0.0,12.0,4186.135028547551,2.75,0.0,0.0
0.0,12.0,2062.597865732711,2.75,0.0,0.0
0.0,12.0,2384.813667540962,2.75,0.0,0.0
0.0,12.0,2063.4482450648247,2.75,0.0,0.0
0.0,12.0,2385.783111293001,2.75,0.0,0.0
11.005576058277962,12.0,3733.8518593799013,2.75,0.0,0.77213
0.0,12.0,3733.8518593799013,2.75,0.0,0.0
11.005576113482366,12.0,3722.9840460935266,2.75,0.0,0.78009
0.0,12.0,3722.9840460935266,2.75,0.0,0.0
0.0,12.0,2200.260283735908,1.75,0.0,0.0
0.0,12.0,2023.6575840015878,1.8333334,0.0,0.0
0.0,12.0,2023.9266914757534,1.8333334,0.0,0.0
0.0,12.0,2424.902380250042,1.8333334,0.0,0.0
0.0,12.0,2393.161068597173,2.75,0.0,0.0
0.0,12.0,2426.614482774337,1.8333334,0.0,0.0
0.0,12.0,2394.286571957309,2.75,0.0,0.0
0.0,12.0,2205.958316292316,2.75,0.0,0.0
15.874430944556828,12.0,2314.499540718128,2.75,0.0,4.24741
0.0,12.0,2313.861280083273,2.75,0.0,0.0
0.0,12.0,2203.6522332862937,2.75,0.0,0.0
0.0,12.0,2203.7747255193467,2.75,0.0,0.0
0.0,12.0,2197.6622886434398,1.75,0.0,0.0
0.0,12.0,2196.7681816923828,1.75,0.0,0.0
0.0,12.0,2448.527519542184,1.8333334,0.0,0.0
0.0,12.0,2575.7247827071183,1.8333334,0.0,0.0
0.0,12.0,2450.3506215188117,1.8333334,0.0,0.0
0.0,12.0,2576.414279888176,1.8333334,0.0,0.0
0.0,12.0,2394.522586721556,2.75,0.0,0.0
0.0,12.0,2395.722838700807,2.75,0.0,0.0
0.0,12.0,2197.897926553664,2.75,0.0,0.0
0.0,12.0,2198.0981696292324,2.75,0.0,0.0
0.0,12.0,4238.807888303293,2.75,0.0,0.0
0.0,12.0,4240.265631017099,2.75,0.0,0.0
12.999950349891387,12.0,1971.5890082768165,1.8333334,0.0,3.13291
0.0,12.0,1971.5890082768165,1.8333334,0.0,0.0
9.28040270759816,12.0,2544.835231779929,1.8333334,0.0,1.02894
0.0,12.0,2544.835231779929,1.8333334,0.0,0.0
0.0,12.0,2545.207091778067,1.8333334,0.0,0.0
9.280402597837416,12.0,2537.9869909798977,1.8333334,0.0,1.03853
0.0,12.0,2537.9869909798977,1.8333334,0.0,0.0
0.0,12.0,2538.3629987625095,1.8333334,0.0,0.0
10.084843957982109,12.0,2420.49986156203,2.75,0.0,2.44162
0.0,12.0,2419.059735973244,2.75,0.0,0.0
12.999952048639832,12.0,1946.3265393754373,1.8333334,0.0,3.24195
0.0,12.0,1946.3265393754373,1.8333334,0.0,0.0
13.368187472000379,12.0,2440.2143999248005,2.75,0.0,3.17693
0.0,12.0,2438.2316824227196,2.75,0.0,0.0
