Age of Message,Number of blue Nodes,Score
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
0.0,4.0,788.0
