Age of Message,Score (Lazy)
0.0,149.77499999999998
1.0,149.725
2.0,149.675
3.0,149.625
4.0,149.575
5.0,149.52499999999998
6.0,149.475
7.0,149.42499999999998
8.0,149.375
9.0,149.325
10.0,149.275
11.0,149.225
12.0,149.17499999999998
13.0,149.125
14.0,149.075
15.0,149.02499999999998
16.0,148.975
17.0,148.925
18.0,148.875
19.0,148.825
20.0,148.77499999999998
21.0,148.725
22.0,148.67499999999998
23.0,148.625
24.0,148.575
25.0,148.525
26.0,148.475
27.0,148.42499999999998
28.0,148.375
29.0,148.325
30.0,148.27499999999998
31.0,148.225
32.0,148.175
33.0,148.125
34.0,148.075
35.0,148.02499999999998
36.0,147.975
37.0,147.92499999999998
38.0,147.875
39.0,147.825
40.0,147.775
41.0,147.725
42.0,147.67499999999998
43.0,147.625
44.0,147.575
45.0,147.52499999999998
46.0,147.475
47.0,147.425
48.0,147.375
49.0,147.325
50.0,147.27499999999998
51.0,147.225
52.0,147.17499999999998
53.0,147.125
54.0,147.075
55.0,147.025
56.0,146.975
57.0,146.92499999999998
58.0,146.875
59.0,146.825
60.0,146.77499999999998
61.0,146.725
62.0,146.675
63.0,146.625
64.0,146.575
65.0,146.52499999999998
66.0,146.475
67.0,146.42499999999998
68.0,146.375
69.0,146.325
70.0,146.275
71.0,146.225
72.0,146.17499999999998
73.0,146.125
74.0,146.075
75.0,146.02499999999998
76.0,145.975
77.0,145.925
78.0,145.875
79.0,145.825
80.0,145.77499999999998
81.0,145.725
82.0,145.67499999999998
83.0,145.625
84.0,145.575
85.0,145.525
86.0,145.475
87.0,145.42499999999998
88.0,145.375
89.0,145.325
90.0,145.27499999999998
91.0,145.225
92.0,145.175
93.0,145.125
94.0,145.075
95.0,145.02499999999998
96.0,144.975
97.0,144.92499999999998
98.0,144.875
99.0,144.825
100.0,144.775
101.0,144.725
102.0,144.67499999999998
103.0,144.625
104.0,144.575
105.0,144.52499999999998
106.0,144.475
107.0,144.425
108.0,144.375
109.0,144.325
110.0,144.27499999999998
111.0,144.225
112.0,144.17499999999998
113.0,144.125
114.0,144.075
115.0,144.025
116.0,143.975
117.0,143.92499999999998
118.0,143.875
119.0,143.825
120.0,143.77499999999998
121.0,143.725
122.0,143.675
123.0,143.625
124.0,143.575
125.0,143.52499999999998
126.0,143.475
127.0,143.42499999999998
128.0,143.375
129.0,143.325
130.0,143.275
131.0,143.225
132.0,143.17499999999998
133.0,143.125
134.0,143.075
135.0,143.02499999999998
136.0,142.975
137.0,142.925
138.0,142.875
139.0,142.825
140.0,142.77499999999998
141.0,142.725
142.0,142.67499999999998
143.0,142.625
144.0,142.575
145.0,142.525
146.0,142.475
147.0,142.42499999999998
148.0,142.375
149.0,142.325
150.0,142.27499999999998
151.0,142.225
152.0,142.175
153.0,142.125
154.0,142.075
155.0,142.02499999999998
156.0,141.975
157.0,141.92499999999998
158.0,141.875
159.0,141.825
160.0,141.775
161.0,141.725
162.0,141.67499999999998
163.0,141.625
164.0,141.575
165.0,141.52499999999998
166.0,141.475
167.0,141.425
168.0,141.375
169.0,141.325
170.0,141.27499999999998
171.0,141.225
172.0,141.17499999999998
173.0,141.125
174.0,141.075
175.0,141.025
176.0,140.975
177.0,140.92499999999998
178.0,140.875
179.0,140.825
180.0,140.77499999999998
181.0,140.725
182.0,140.675
183.0,140.625
184.0,140.575
185.0,140.52499999999998
186.0,140.475
187.0,140.42499999999998
188.0,140.375
189.0,140.325
190.0,140.275
191.0,140.225
192.0,140.17499999999998
193.0,140.125
194.0,140.075
195.0,140.02499999999998
196.0,139.975
197.0,139.925
198.0,139.875
199.0,139.825
200.0,139.77499999999998
201.0,139.725
202.0,139.67499999999998
203.0,139.625
204.0,139.575
205.0,139.525
206.0,139.475
207.0,139.42499999999998
208.0,139.375
209.0,139.325
210.0,139.27499999999998
211.0,139.225
212.0,139.175
213.0,139.125
214.0,139.075
215.0,139.02499999999998
216.0,138.975
217.0,138.92499999999998
218.0,138.875
