Age of Message,Penalty
0.0,49.625
1.0,49.54167
2.0,49.45833
3.0,49.375
4.0,49.29167
5.0,49.20833
6.0,49.125
7.0,49.04167
8.0,48.95833
9.0,48.875
10.0,48.79167
11.0,48.70833
12.0,48.625
13.0,48.54167
14.0,48.45833
15.0,48.375
16.0,48.29167
17.0,48.20833
18.0,48.125
19.0,48.04167
20.0,47.95833
21.0,47.875
22.0,47.79167
23.0,47.70833
24.0,47.625
25.0,47.54167
26.0,47.45833
27.0,47.375
28.0,47.29167
29.0,47.20833
30.0,47.125
31.0,47.04167
32.0,46.95833
33.0,46.875
34.0,46.79167
35.0,46.70833
36.0,46.625
37.0,46.54167
38.0,46.45833
39.0,46.375
40.0,46.29167
41.0,46.20833
42.0,46.125
43.0,46.04167
44.0,45.95833
45.0,45.875
46.0,45.79167
47.0,45.70833
48.0,45.625
49.0,45.54167
50.0,45.45833
51.0,45.375
52.0,45.29167
53.0,45.20833
54.0,45.125
55.0,45.04167
56.0,44.95833
57.0,44.875
58.0,44.79167
59.0,44.70833
60.0,44.625
61.0,44.54167
62.0,44.45833
63.0,44.375
64.0,44.29167
65.0,44.20833
66.0,44.125
67.0,44.04167
68.0,43.95833
69.0,43.875
70.0,43.79167
71.0,43.70833
72.0,43.625
73.0,43.54167
74.0,43.45833
75.0,43.375
76.0,43.29167
77.0,43.20833
78.0,43.125
79.0,43.04167
80.0,42.95833
81.0,42.875
82.0,42.79167
83.0,42.70833
84.0,42.625
85.0,42.54167
86.0,42.45833
87.0,42.375
88.0,42.29167
89.0,42.20833
90.0,42.125
91.0,42.04167
92.0,41.95833
93.0,41.875
94.0,41.79167
95.0,41.70833
96.0,41.625
97.0,41.54167
98.0,41.45833
99.0,41.375
100.0,41.29167
101.0,41.20833
102.0,41.125
103.0,41.04167
104.0,40.95833
105.0,40.875
106.0,40.79167
107.0,40.70833
108.0,40.625
109.0,40.54167
110.0,40.45833
111.0,40.375
112.0,40.29167
113.0,40.20833
114.0,40.125
115.0,40.04167
116.0,39.95833
117.0,39.875
118.0,39.79167
119.0,39.70833
120.0,39.625
121.0,39.54167
122.0,39.45833
123.0,39.375
124.0,39.29167
125.0,39.20833
126.0,39.125
127.0,39.04167
128.0,38.95833
129.0,38.875
130.0,38.79167
131.0,38.70833
132.0,38.625
133.0,38.54167
134.0,38.45833
135.0,38.375
136.0,38.29167
137.0,38.20833
138.0,38.125
139.0,38.04167
140.0,37.95833
141.0,37.875
142.0,37.79167
143.0,37.70833
144.0,37.625
145.0,37.54167
146.0,37.45833
147.0,37.375
148.0,37.29167
149.0,37.20833
150.0,37.125
151.0,37.04167
152.0,36.95833
153.0,36.875
154.0,36.79167
155.0,36.70833
156.0,36.625
157.0,36.54167
158.0,36.45833
159.0,36.375
160.0,36.29167
161.0,36.20833
162.0,36.125
163.0,36.04167
164.0,35.95833
165.0,35.875
166.0,35.79167
167.0,35.70833
168.0,35.625
169.0,35.54167
170.0,35.45833
171.0,35.375
172.0,35.29167
173.0,35.20833
174.0,35.125
175.0,35.04167
176.0,34.95833
177.0,34.875
178.0,34.79167
179.0,34.70833
180.0,34.625
181.0,34.54167
182.0,34.45833
183.0,34.375
184.0,34.29167
185.0,34.20833
186.0,34.125
187.0,34.04167
188.0,33.95833
189.0,33.875
190.0,33.79167
191.0,33.70833
192.0,33.625
193.0,33.54167
194.0,33.45833
195.0,33.375
196.0,33.29167
197.0,33.20833
198.0,33.125
199.0,33.04167
200.0,32.95833
201.0,32.875
202.0,32.79167
203.0,32.70833
204.0,32.625
205.0,32.54167
206.0,32.45833
207.0,32.375
208.0,32.29167
209.0,32.20833
210.0,32.125
211.0,32.04167
212.0,31.95833
213.0,31.875
214.0,31.79167
215.0,31.70833
216.0,31.625
217.0,31.54167
218.0,31.45833
219.0,31.375
220.0,31.29167
221.0,31.20833
222.0,31.125
223.0,31.04167
224.0,30.95833
225.0,30.875
226.0,30.79167
227.0,30.70833
228.0,30.625
229.0,30.54167
230.0,30.45833
231.0,30.375
232.0,30.29167
233.0,30.20833
234.0,30.125
235.0,30.04167
236.0,29.95833
237.0,29.875
238.0,29.79167
239.0,29.70833
240.0,29.625
241.0,29.54167
242.0,29.45833
243.0,29.375
244.0,29.29167
245.0,29.20833
246.0,29.125
247.0,29.04167
248.0,28.95833
249.0,28.875
250.0,28.79167
251.0,28.70833
252.0,28.625
253.0,28.54167
254.0,28.45833
255.0,28.375
256.0,28.29167
257.0,28.20833
258.0,28.125
259.0,28.04167
260.0,27.95833
261.0,27.875
262.0,27.79167
263.0,27.70833
264.0,27.625
265.0,27.54167
266.0,27.45833
267.0,27.375
268.0,27.29167
269.0,27.20833
270.0,27.125
271.0,27.04167
272.0,26.95833
273.0,26.875
274.0,26.79167
275.0,26.70833
276.0,26.625
277.0,26.54167
278.0,26.45833
279.0,26.375
280.0,26.29167
281.0,26.20833
282.0,26.125
283.0,26.04167
284.0,25.95833
285.0,25.875
286.0,25.79167
287.0,25.70833
288.0,25.625
289.0,25.54167
290.0,25.45833
291.0,25.375
292.0,25.29167
293.0,25.20833
294.0,25.125
295.0,25.04167
296.0,24.95833
297.0,24.875
298.0,24.79167
299.0,24.70833
300.0,24.625
301.0,24.54167
302.0,24.45833
303.0,24.375
304.0,24.29167
305.0,24.20833
306.0,24.125
307.0,24.04167
308.0,23.95833
309.0,23.875
310.0,23.79167
311.0,23.70833
312.0,23.625
313.0,23.54167
314.0,23.45833
315.0,23.375
316.0,23.29167
317.0,23.20833
318.0,23.125
319.0,23.04167
320.0,22.95833
321.0,22.875
322.0,22.79167
323.0,22.70833
324.0,22.625
325.0,22.54167
326.0,22.45833
327.0,22.375
328.0,22.29167
329.0,22.20833
330.0,22.125
331.0,22.04167
332.0,21.95833
333.0,21.875
334.0,21.79167
335.0,21.70833
336.0,21.625
337.0,21.54167
338.0,21.45833
339.0,21.375
340.0,21.29167
341.0,21.20833
342.0,21.125
343.0,21.04167
344.0,20.95833
345.0,20.875
346.0,20.79167
347.0,20.70833
348.0,20.625
349.0,20.54167
350.0,20.45833
351.0,20.375
352.0,20.29167
353.0,20.20833
354.0,20.125
355.0,20.04167
356.0,19.95833
357.0,19.875
358.0,19.79167
359.0,19.70833
360.0,19.625
361.0,19.54167
362.0,19.45833
363.0,19.375
364.0,19.29167
365.0,19.20833
366.0,19.125
367.0,19.04167
368.0,18.95833
369.0,18.875
370.0,18.79167
371.0,18.70833
372.0,18.625
373.0,18.54167
374.0,18.45833
375.0,18.375
376.0,18.29167
377.0,18.20833
378.0,18.125
379.0,18.04167
380.0,17.95833
381.0,17.875
382.0,17.79167
383.0,17.70833
384.0,17.625
385.0,17.54167
386.0,17.45833
387.0,17.375
388.0,17.29167
389.0,17.20833
390.0,17.125
391.0,17.04167
392.0,16.95833
393.0,16.875
394.0,16.79167
395.0,16.70833
396.0,16.625
397.0,16.54167
398.0,16.45833
399.0,16.375
400.0,16.29167
401.0,16.20833
402.0,16.125
403.0,16.04167
404.0,15.95833
405.0,15.875
406.0,15.79167
407.0,15.70833
408.0,15.625
409.0,15.54167
410.0,15.45833
411.0,15.375
412.0,15.29167
413.0,15.20833
414.0,15.125
415.0,15.04167
416.0,14.95833
417.0,14.875
418.0,14.79167
419.0,14.70833
420.0,14.625
421.0,14.54167
422.0,14.45833
423.0,14.375
424.0,14.29167
425.0,14.20833
426.0,14.125
427.0,14.04167
428.0,13.95833
429.0,13.875
430.0,13.79167
431.0,13.70833
432.0,13.625
433.0,13.54167
434.0,13.45833
435.0,13.375
436.0,13.29167
437.0,13.20833
438.0,13.125
439.0,13.04167
440.0,12.95833
441.0,12.875
442.0,12.79167
443.0,12.70833
444.0,12.625
445.0,12.54167
446.0,12.45833
447.0,12.375
448.0,12.29167
449.0,12.20833
450.0,12.125
451.0,12.04167
452.0,11.95833
453.0,11.875
454.0,11.79167
455.0,11.70833
456.0,11.625
457.0,11.54167
458.0,11.45833
459.0,11.375
460.0,11.29167
461.0,11.20833
462.0,11.125
463.0,11.04167
464.0,10.95833
465.0,10.875
466.0,10.79167
467.0,10.70833
468.0,10.625
469.0,10.54167
470.0,10.45833
471.0,10.375
472.0,10.29167
473.0,10.20833
474.0,10.125
475.0,10.04167
476.0,9.95833
477.0,9.875
478.0,9.79167
479.0,9.70833
480.0,9.625
481.0,9.54167
482.0,9.45833
483.0,9.375
484.0,9.29167
485.0,9.20833
486.0,9.125
487.0,9.04167
488.0,8.95833
489.0,8.875
490.0,8.79167
491.0,8.70833
492.0,8.625
493.0,8.54167
494.0,8.45833
495.0,8.375
496.0,8.29167
497.0,8.20833
498.0,8.125
499.0,8.04167
500.0,7.95833
501.0,7.875
502.0,7.79167
503.0,7.70833
504.0,7.625
505.0,7.54167
506.0,7.45833
507.0,7.375
508.0,7.29167
509.0,7.20833
510.0,7.125
511.0,7.04167
512.0,6.95833
513.0,6.875
514.0,6.79167
515.0,6.70833
516.0,6.625
517.0,6.54167
518.0,6.45833
519.0,6.375
520.0,6.29167
521.0,6.20833
522.0,6.125
523.0,6.04167
524.0,5.95833
525.0,5.875
526.0,5.79167
527.0,5.70833
528.0,5.625
529.0,5.54167
530.0,5.45833
531.0,5.375
532.0,5.29167
533.0,5.20833
534.0,5.125
535.0,5.04167
536.0,4.95833
537.0,4.875
538.0,4.79167
539.0,4.70833
540.0,4.625
541.0,4.54167
542.0,4.45833
543.0,4.375
544.0,4.29167
545.0,4.20833
546.0,4.125
547.0,4.04167
548.0,3.95833
549.0,3.875
550.0,3.79167
551.0,3.70833
552.0,3.625
553.0,3.54167
554.0,3.45833
555.0,3.375
556.0,3.29167
557.0,3.20833
558.0,3.125
559.0,3.04167
560.0,2.95833
561.0,2.875
562.0,2.79167
563.0,2.70833
564.0,2.625
565.0,2.54167
566.0,2.45833
567.0,2.375
568.0,2.29167
569.0,2.20833
570.0,2.125
571.0,2.04167
572.0,1.95833
573.0,1.875
574.0,1.79167
575.0,1.70833
576.0,1.625
577.0,1.54167
578.0,1.45833
579.0,1.375
580.0,1.29167
581.0,1.20833
582.0,1.125
583.0,1.04167
584.0,0.95833
585.0,0.875
586.0,0.79167
587.0,0.70833
588.0,0.625
589.0,0.54167
590.0,0.45833
591.0,0.375
592.0,0.29167
593.0,0.20833
594.0,0.125
595.0,0.04167
