combination_id,regressor,pre_processing_type,use_default_params,num_runs,mae,r2
0,RandomForest,SCALING,Yes,4,0.0,0.412
1,RandomForest,SCALING,No,4,0.0,0.411
2,RandomForest,NORMALIZATION,Yes,4,0.0,0.413
3,RandomForest,NORMALIZATION,No,4,0.0,0.413
4,RandomForest,NONE,Yes,4,0.0,0.412
5,RandomForest,NONE,No,4,0.0,0.412
6,LinearRegression,SCALING,Yes,4,0.06,-902.837
7,LinearRegression,SCALING,No,4,0.157,-2652.945
8,LinearRegression,NORMALIZATION,Yes,4,0.062,-650.411
9,LinearRegression,NORMALIZATION,No,4,0.082,-740.58
10,LinearRegression,NONE,Yes,3,0.097,-2010.938
11,LinearRegression,NONE,No,3,0.346,-63854.153
12,DecisionTree,SCALING,Yes,3,0.0,0.639
13,DecisionTree,SCALING,No,3,0.0,0.637
14,DecisionTree,NORMALIZATION,Yes,3,0.001,0.65
15,DecisionTree,NORMALIZATION,No,3,0.001,0.65
16,DecisionTree,NONE,Yes,3,0.0,0.638
17,DecisionTree,NONE,No,3,0.0,0.637


