combination_id,regressor,pre_processing_type,use_default_params,num_runs,mae,r2
0,RandomForest,SCALING,Yes,4,0.0,0.417
1,RandomForest,SCALING,No,4,0.0,0.417
2,RandomForest,NORMALIZATION,Yes,4,0.011,0.262
3,RandomForest,NORMALIZATION,No,4,0.009,0.297
4,RandomForest,NONE,Yes,4,0.0,0.417
5,RandomForest,NONE,No,4,0.0,0.417
6,LinearRegression,SCALING,Yes,4,0.063,-2.803
7,LinearRegression,SCALING,No,4,0.45,-201.119
8,LinearRegression,NORMALIZATION,Yes,4,0.085,-1.9
9,LinearRegression,NORMALIZATION,No,4,0.081,-0.239
10,LinearRegression,NONE,Yes,3,0.156,-0.736
11,LinearRegression,NONE,No,3,0.25,-4.416
12,DecisionTree,SCALING,Yes,3,0.0,0.667
13,DecisionTree,SCALING,No,3,0.0,0.667
14,DecisionTree,NORMALIZATION,Yes,3,0.044,-0.187
15,DecisionTree,NORMALIZATION,No,3,0.051,-0.548
16,DecisionTree,NONE,Yes,3,0.0,0.667
17,DecisionTree,NONE,No,3,0.0,0.667
