combination_id,regressor,pre_processing_type,use_default_params,num_runs,mae,r2
0,RandomForest,SCALING,Yes,10,0.0,-0.573
1,RandomForest,SCALING,No,10,0.0,-0.593
2,RandomForest,NORMALIZATION,Yes,10,0.0,-0.063
3,RandomForest,NORMALIZATION,No,10,0.0,-0.051
4,RandomForest,NONE,Yes,10,0.0,-0.56
5,RandomForest,NONE,No,10,0.0,-0.571
6,LinearRegression,SCALING,Yes,10,0.009,-2767139.322
7,LinearRegression,SCALING,No,10,0.02,-12433213.922
8,LinearRegression,NORMALIZATION,Yes,10,0.008,-1595495.835
9,LinearRegression,NORMALIZATION,No,10,0.016,-7288710.128
10,LinearRegression,NONE,Yes,10,0.009,-2767139.322
11,LinearRegression,NONE,No,10,0.009,-2767139.322
12,DecisionTree,SCALING,Yes,10,0.0,-1.003
13,DecisionTree,SCALING,No,10,0.0,-1.003
14,DecisionTree,NORMALIZATION,Yes,10,0.0,-0.016
15,DecisionTree,NORMALIZATION,No,10,0.0,-0.016
16,DecisionTree,NONE,Yes,10,0.0,-1.003
17,DecisionTree,NONE,No,10,0.0,-1.004
