combination_id,regressor,pre_processing_type,use_default_params,num_runs,mae,r2
0,LinearRegression,SCALING,Yes,10,0.022000000000000002,0.004
1,LinearRegression,SCALING,No,10,0.117,-0.774
2,LinearRegression,NORMALIZATION,Yes,10,0.024,0.006999999999999999
3,LinearRegression,NORMALIZATION,No,10,0.023,0.004
4,LinearRegression,NONE,Yes,10,0.022000000000000002,0.004
5,LinearRegression,NONE,No,10,0.045,-0.115
6,DecisionTree,SCALING,Yes,10,0.0,0.113
7,DecisionTree,SCALING,No,10,0.0,0.113
8,DecisionTree,NORMALIZATION,Yes,10,0.006999999999999999,0.018000000000000002
9,DecisionTree,NORMALIZATION,No,10,0.006999999999999999,0.022
10,DecisionTree,NONE,Yes,10,0.0,0.113
11,DecisionTree,NONE,No,10,0.0,0.113
12,RandomForest,SCALING,Yes,10,0.0,0.113
13,RandomForest,SCALING,No,10,0.0,0.113
14,RandomForest,NORMALIZATION,Yes,10,0.006999999999999999,0.002
15,RandomForest,NORMALIZATION,No,10,0.006999999999999999,0.002
16,RandomForest,NONE,Yes,10,0.0,0.113
17,RandomForest,NONE,No,10,0.0,0.113
