combination_id,regressor,pre_processing_type,use_default_params,num_runs,mae,r2
0,RandomForest,SCALING,Yes,10,0.001,-0.027
1,RandomForest,SCALING,No,10,0.001,-0.027
2,RandomForest,NORMALIZATION,Yes,10,0.001,-0.143
3,RandomForest,NORMALIZATION,No,10,0.001,-0.143
4,RandomForest,NONE,Yes,10,0.001,-0.027
5,RandomForest,NONE,No,10,0.001,-0.027
6,LinearRegression,SCALING,Yes,10,0.032,-0.053
7,LinearRegression,SCALING,No,10,0.097,-0.307
8,LinearRegression,NORMALIZATION,Yes,10,0.037,-0.067
9,LinearRegression,NORMALIZATION,No,10,0.035,-0.042
10,LinearRegression,NONE,Yes,10,0.032,-0.053
11,LinearRegression,NONE,No,10,0.056,-0.328
12,DecisionTree,SCALING,Yes,10,0.001,-0.027
13,DecisionTree,SCALING,No,10,0.001,-0.027
14,DecisionTree,NORMALIZATION,Yes,10,0.001,-0.155
15,DecisionTree,NORMALIZATION,No,10,0.001,-0.151
16,DecisionTree,NONE,Yes,10,0.001,-0.027
17,DecisionTree,NONE,No,10,0.001,-0.027
