combination_id,regressor,pre_processing_type,use_default_params,num_runs,mae,r2
0,LinearRegression,SCALING,Yes,10,0.121,-0.455
1,LinearRegression,SCALING,No,10,0.14300000000000002,-0.6940000000000001
2,LinearRegression,NORMALIZATION,Yes,10,0.09300000000000001,-0.33
3,LinearRegression,NORMALIZATION,No,10,0.094,-0.294
4,LinearRegression,NONE,Yes,10,0.121,-0.455
5,LinearRegression,NONE,No,10,0.121,-0.454
6,DecisionTree,SCALING,Yes,10,0.0,0.113
7,DecisionTree,SCALING,No,10,0.0,0.113
8,DecisionTree,NORMALIZATION,Yes,10,0.0,0.113
9,DecisionTree,NORMALIZATION,No,10,0.0,0.113
10,DecisionTree,NONE,Yes,10,0.0,0.113
11,DecisionTree,NONE,No,10,0.0,0.113
12,RandomForest,SCALING,Yes,10,0.001,0.11199999999999999
13,RandomForest,SCALING,No,10,0.001,0.112
14,RandomForest,NORMALIZATION,Yes,10,0.0,0.113
15,RandomForest,NORMALIZATION,No,10,0.0,0.113
16,RandomForest,NONE,Yes,10,0.001,0.11199999999999999
17,RandomForest,NONE,No,10,0.001,0.112
