combination_id,regressor,pre_processing_type,use_default_params,num_runs,mae,r2
0,RandomForest,SCALING,Yes,11,0.453,0.0
1,RandomForest,SCALING,No,10,0.451,0.0
2,RandomForest,NORMALIZATION,Yes,10,0.406,0.0
3,RandomForest,NORMALIZATION,No,10,0.442,0.0
4,RandomForest,NONE,Yes,10,0.397,0.0
5,RandomForest,NONE,No,10,0.55,0.0
6,LinearRegression,SCALING,Yes,10,68.526,0.0
7,LinearRegression,SCALING,No,10,134.269,0.0
8,LinearRegression,NORMALIZATION,Yes,10,222.432,0.0
9,LinearRegression,NORMALIZATION,No,10,163.252,0.0
10,LinearRegression,NONE,Yes,10,68.526,0.0
11,LinearRegression,NONE,No,10,68.526,0.0
12,DecisionTree,SCALING,Yes,10,0.0,0.113
13,DecisionTree,SCALING,No,10,0.0,0.113
14,DecisionTree,NORMALIZATION,Yes,10,0.0,0.113
15,DecisionTree,NORMALIZATION,No,10,0.0,0.113
16,DecisionTree,NONE,Yes,10,0.0,0.113
17,DecisionTree,NONE,No,10,0.0,0.113
