combination_id,regressor,pre_processing_type,use_default_params,num_runs,mae,r2
0,LinearRegression,SCALING,Yes,10,0.135,0.0
1,LinearRegression,SCALING,No,10,0.259,0.0
2,LinearRegression,NORMALIZATION,Yes,10,0.23600000000000002,0.0
3,LinearRegression,NORMALIZATION,No,10,0.34700000000000003,0.0
4,LinearRegression,NONE,Yes,10,0.135,0.0
5,LinearRegression,NONE,No,10,0.674,0.0
6,DecisionTree,SCALING,Yes,10,0.0,0.113
7,DecisionTree,SCALING,No,10,0.0,0.113
8,DecisionTree,NORMALIZATION,Yes,10,0.253,0.0
9,DecisionTree,NORMALIZATION,No,10,0.255,0.0
10,DecisionTree,NONE,Yes,10,0.0,0.113
11,DecisionTree,NONE,No,10,0.0,0.113
12,RandomForest,SCALING,Yes,10,0.0,0.113
13,RandomForest,SCALING,No,10,0.0,0.113
14,RandomForest,NORMALIZATION,Yes,10,0.23600000000000002,0.0
15,RandomForest,NORMALIZATION,No,10,0.236,0.0
16,RandomForest,NONE,Yes,10,0.0,0.113
17,RandomForest,NONE,No,10,0.0,0.113
