combination_id,regressor,pre_processing_type,use_default_params,num_runs,mae,r2
0,LinearRegression,SCALING,Yes,10,0.0,0.0
1,LinearRegression,SCALING,No,10,2.8,0.0
2,LinearRegression,NORMALIZATION,Yes,10,0.0,0.113
3,LinearRegression,NORMALIZATION,No,10,5.595,0.0
4,LinearRegression,NONE,Yes,10,0.0,0.0
5,LinearRegression,NONE,No,10,5.595,0.0
6,DecisionTree,SCALING,Yes,10,0.005,0.0
7,DecisionTree,SCALING,No,10,0.006,0.0
8,DecisionTree,NORMALIZATION,Yes,10,0.92,0.0
9,DecisionTree,NORMALIZATION,No,10,0.975,0.0
10,DecisionTree,NONE,Yes,10,0.006,0.0
11,DecisionTree,NONE,No,10,0.006999999999999999,0.0
12,RandomForest,SCALING,Yes,10,0.0,0.113
13,RandomForest,SCALING,No,10,0.0,0.113
14,RandomForest,NORMALIZATION,Yes,10,0.0,0.113
15,RandomForest,NORMALIZATION,No,10,0.0,0.113
16,RandomForest,NONE,Yes,10,0.0,0.113
17,RandomForest,NONE,No,10,0.0,0.113
