combination_id,regressor,pre_processing_type,use_default_params,num_runs,mae,r2
0,RandomForest,SCALING,Yes,4,0.655,0.417
1,RandomForest,SCALING,No,4,0.641,0.417
2,RandomForest,NORMALIZATION,Yes,4,0.635,0.417
3,RandomForest,NORMALIZATION,No,4,0.644,0.417
4,RandomForest,NONE,Yes,4,0.658,0.417
5,RandomForest,NONE,No,4,0.699,0.417
6,LinearRegression,SCALING,Yes,4,180.501,-0.765
7,LinearRegression,SCALING,No,4,320.981,-0.497
8,LinearRegression,NORMALIZATION,Yes,4,229.015,-0.901
9,LinearRegression,NORMALIZATION,No,4,304.544,-2.096
10,LinearRegression,NONE,Yes,3,278.785,-0.925
11,LinearRegression,NONE,No,3,276.958,-0.749
12,DecisionTree,SCALING,Yes,3,0.0,0.667
13,DecisionTree,SCALING,No,3,0.0,0.667
14,DecisionTree,NORMALIZATION,Yes,3,0.0,0.667
15,DecisionTree,NORMALIZATION,No,3,0.0,0.667
16,DecisionTree,NONE,Yes,3,0.0,0.667
17,DecisionTree,NONE,No,3,0.0,0.667
