combination_id,regressor,pre_processing_type,use_default_params,num_runs,mae,r2
0,RandomForest,SCALING,Yes,4,0.0,0.417
1,RandomForest,SCALING,No,4,0.0,0.417
2,RandomForest,NORMALIZATION,Yes,4,0.937,0.0
3,RandomForest,NORMALIZATION,No,4,0.935,0.0
4,RandomForest,NONE,Yes,4,0.0,0.417
5,RandomForest,NONE,No,4,0.0,0.417
6,LinearRegression,SCALING,Yes,4,0.498,0.0
7,LinearRegression,SCALING,No,4,0.958,0.0
8,LinearRegression,NORMALIZATION,Yes,4,0.874,0.0
9,LinearRegression,NORMALIZATION,No,4,1.283,0.0
10,LinearRegression,NONE,Yes,3,0.797,0.0
11,LinearRegression,NONE,No,3,3.987,0.0
12,DecisionTree,SCALING,Yes,3,0.0,0.667
13,DecisionTree,SCALING,No,3,0.0,0.667
14,DecisionTree,NORMALIZATION,Yes,3,1.409,0.0
15,DecisionTree,NORMALIZATION,No,3,1.409,0.0
16,DecisionTree,NONE,Yes,3,0.0,0.667
17,DecisionTree,NONE,No,3,0.0,0.667
