combination_id,regressor,pre_processing_type,use_default_params,num_runs,mae,r2
0,RandomForest,SCALING,Yes,4,0.004,0.417
1,RandomForest,SCALING,No,4,0.004,0.417
2,RandomForest,NORMALIZATION,Yes,4,4.154,-3.365
3,RandomForest,NORMALIZATION,No,4,4.174,-3.396
4,RandomForest,NONE,Yes,4,0.004,0.417
5,RandomForest,NONE,No,4,0.004,0.417
6,LinearRegression,SCALING,Yes,4,0.0,0.417
7,LinearRegression,SCALING,No,4,56.156,-651.382
8,LinearRegression,NORMALIZATION,Yes,4,4.137,-3.373
9,LinearRegression,NORMALIZATION,No,4,4.978,-13.635
10,LinearRegression,NONE,Yes,3,0.0,0.667
11,LinearRegression,NONE,No,3,75.855,-729.987
12,DecisionTree,SCALING,Yes,3,0.0,0.667
13,DecisionTree,SCALING,No,3,0.0,0.667
14,DecisionTree,NORMALIZATION,Yes,3,6.59,-5.193
15,DecisionTree,NORMALIZATION,No,3,6.59,-5.193
16,DecisionTree,NONE,Yes,3,0.0,0.667
17,DecisionTree,NONE,No,3,0.0,0.667
