combination_id,regressor,pre_processing_type,use_default_params,num_runs,mae,r2
0,RandomForest,SCALING,Yes,4,0.006,0.417
1,RandomForest,SCALING,No,4,0.006,0.417
2,RandomForest,NORMALIZATION,Yes,4,6.826,-3.186
3,RandomForest,NORMALIZATION,No,4,6.804,-3.164
4,RandomForest,NONE,Yes,4,0.007,0.417
5,RandomForest,NONE,No,4,0.007,0.417
6,LinearRegression,SCALING,Yes,4,0.0,0.417
7,LinearRegression,SCALING,No,4,10.347,-7.114
8,LinearRegression,NORMALIZATION,Yes,4,6.783,-3.179
9,LinearRegression,NORMALIZATION,No,4,7.174,-3.728
10,LinearRegression,NONE,Yes,3,0.0,0.667
11,LinearRegression,NONE,No,3,26.217,-31.041
12,DecisionTree,SCALING,Yes,3,0.0,0.667
13,DecisionTree,SCALING,No,3,0.0,0.667
14,DecisionTree,NORMALIZATION,Yes,3,10.857,-5.112
15,DecisionTree,NORMALIZATION,No,3,10.857,-5.112
16,DecisionTree,NONE,Yes,3,0.0,0.667
17,DecisionTree,NONE,No,3,0.0,0.667
